Code,Description,Default_Translation (en-en),Target_Translation (sl-si),Has_Translation
I18N_MODULE_DESCRIPTION,I18NCode for module description,Description,Opis,Yes
I18N_MODULE_NAME,I18NCode for the module name type,Module ,Modul,Yes
I18N_MODULES,I18NCodes for Modules,Modules,Moduli,Yes
I18N_MONITOR_MSP,I18NCode for Monitor MSP,Monitor MSP,Spremljajte MSP,Yes
I18N_MONITOR_MSP_LABEL,I18NCode for Monitor MSP Label,Enable MSP monitoring,Omogoči spremljanje MSP,Yes
I18N_MONITOR_SUBSTITUTIONS,I18NCode for Monitor Substitutions,Monitor Substitutions,Spremljajte zamenjave,Yes
I18N_MONITOR_SUBSTITUTIONS_LABEL,I18NCode Monitor Substitutions Label,Enable monitoring substitutions,Omogoči spremljanje zamenjav,Yes
I18N_MONTH_BY_MONTH,I18NCode for Month by month,Month by month,Mesec za mesecem,Yes
I18N_MONTH_DIFFERENCE,I18NCode for Month difference, Months from the affiliate's entry until their exit,Meseci od vstopa podružnice do njihovega izstopa,Yes
I18N_MONTH_MEMBER_6AM,I18NCode for /month/member (6m),/month/member (6m),/mesec/član (6m),Yes
I18N_MONTHLY_ALERT_REPORT_SETTINGS,I18NCode for Monthly Alert Report Settings,Monthly Alert Report Settings,Nastavitve mesečnega poročila o opozorilih,Yes
I18N_MONTHS,I18NCode for Months,Months,meseci,Yes
I18N_MONTHS_100_POINTS,I18NCode for Months 100 Points,Months 100 Points,Mesecev 100 točk,Yes
I18N_MONTHS_BEFORE_RENEWAL,"I18NCode for ""Months Before Renewal""",Months before renewal,Meseci pred obnovo,Yes
I18N_MONTHS_IN_BNI,I18NCode for Months in BNI,Months in BNI,Meseci v BNI,Yes
I18N_MRA_DESCRIPTION,I18NCode for MRA Description,"This is a <strong>monthly report</strong> that usually is sent to the Executive Director every 3rd working day of the month.<br/>

The goal is to give, in only one report, the list of next 3 month renewals and identify on that list the members in member traffic lights RED or GRAY, and also complete list of what happened last month in the region (late, dropped , new and renewed members, members with 3 or more absences, members with 3 or more substitutions, PALMS monitoring and Directors Chapter Visits)","To je <strong>mesečno poročilo</strong>, ki se običajno pošlje izvršnemu direktorju vsak 3. delovni dan v mesecu.<br/>",Yes
I18N_MRA_MONTHLY_ALERT_REPORT,I18NCode for MRA Monthly Alert Report,MRA - Monthly Alert Report,MRA - Mesečno opozorilno poročilo,Yes
I18N_MRCTL_DESCRIPTION,I18NCode for MRCTL Description,"This is a <strong>monthly report</strong> that usually is sent to each DC every 3rd working day of the month.<br/>

This a Philippe Blin idea (thank you Philippe) and it is a Traffic Lights for Director Consultants. It is based on DC Chapters Traffic Lights, it is a pretty good tool to understand Director Consultant Performance.","To je <strong>mesečno poročilo</strong>, ki se običajno pošlje vsakemu DC vsak 3. delovni dan v mesecu.<br/>",Yes
I18N_MRCTL_MONTHLY_REGIONAL_DC_TRAFFIC_LIGTHS_REPORT,I18NCode for MRCTL - Monthly Regional DC Traffic Ligths Report,MRCTL - Monthly Regional DC Traffic Ligths Report,MRCTL - Mesečno regionalno poročilo o semaforjih v DC,Yes
I18N_MRGTL_DESCRIPTION,I18NCode for MRGTL Description,"This is a <strong>monthly report</strong> that usually is sent to LT's, DC's, AD's and ED (the ED must set who receives it, LT, DC...) every 3rd working day of the month.<br/>

The goal is to give LT's and Directors an update regarding their chapter performance and also the ability to compare with all other chapters.","To je <strong>mesečno poročilo</strong>, ki se običajno pošlje LT, DC, AD in ED (ED mora določiti, kdo ga prejme, LT, DC ...) vsak 3. delovni dan v mesecu.<br/>",Yes
I18N_MRGTL_MONTHLY_REGIONAL_CHAPTER_TRAFFIC_LIGHTS,I18NCode for MRGTL Monthly Regional Chapter Traffic Lights,MRGTL - Monthly Regional Chapter Traffic Lights,MRGTL - Mesečni semaforji regionalnega poglavja,Yes
I18N_MRP_DESCRIPTION,I18NCode for MRP,"This is a <strong>monthly report</strong> that usually is sent to the Executive Director every 3rd working day of the month.<br/>

The goal is to give the ED a tool to look understand his regional performance and evolution on each and every KSF and other KPI's","To je <strong>mesečno poročilo</strong>, ki se običajno pošlje izvršnemu direktorju vsak 3. delovni dan v mesecu.<br/>",Yes
I18N_MRP_MONTHLY_REGIONAL_PERFORMANCE_REPORT,I18NCode for MRP Monthly Regional Performance Report,MRP - Monthly Regional Performance Report,MRP - Mesečno regionalno poročilo o uspešnosti,Yes
I18N_MSP,I18NCode for MSP,MSP,MSP,Yes
I18N_MSP_MONITOR_SETTINGS,I18NCode for MSP Monitor Settings,MSP Monitor Settings,Nastavitve monitorja MSP,Yes
I18N_MSP_ONLY,I18NCode for MSP Only,MSP Only,Samo MSP,Yes
I18N_MSP_ONLY_LABEL,I18NCode for MSP Only Label,Activate MSP Only,Aktiviraj samo MSP,Yes
I18N_MULTI_AVG,I18NCode for Multi AVG,Multi avg,Multi povpr,Yes
I18N_MULTI_REGION,I18NCode for Dropdown ddl,Multi Region,Več regij,Yes
I18N_MULTI_REGION_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Multi Region cannot exceed 50 characters,Multi region cannot exceed 50 characteres,Več regij ne sme presegati 50 znakov,Yes
I18N_MULTI_REGION_GOAL_EDIT,I18NCode for Multi REGION GOAL EDIT,Edit Multi Region Goal,Uredi večregijski cilj,Yes
I18N_MULTI_REGION_GOAL_MENU,I18NCode for Multi Region Goal Menu,Multi Region,Več regij,Yes
I18N_MULTI_REGION_IS_REQUIRED,I18Ncode for Multi Region is required,Multi region is required,Zahtevana je več regij,Yes
I18N_MULTIPLE_RESPONSES,"I18NCode for Multiple Responses
",Multiple responses,Več odgovorov,Yes
I18N_MULTIPURPOSE,Multipurpose,Multipurpose,Večnamensko,Yes
I18N_MUST_REPEAT_TRAINNING_EVERY,I18NCode for Must Repeat Trainning Every,Must Repeat Trainning Every,Trening je treba ponoviti vsak,Yes
I18N_MY_CHAPTER_,I18NCode for My Chapter,My chapter,Moje poglavje,Yes
I18N_MY_LAST_CONTRIBUTIONS,My last contributions,My last contributions,Moji zadnji prispevki,Yes
I18N_MY_LAST_CONTRIBUTIONS_PDF,I18NCode for My Last Contributions Pdf,My Last Contributions PDF,Moji zadnji prispevki PDF,Yes
I18N_MY_LAST_RECEIVED_REPORTS,I18NCode for My Last Received Reports,Last Received Reports,Zadnja prejeta poročila,Yes
I18N_MY_PROFILE,I18NCode for My Profile,My profile,Moj profil,Yes
I18N_NAME,I18NCode for Name,Name,Ime,Yes
I18N_NAME_IS_REQUIRED,I18NCode for Name Is Required,Name is a required field,Ime je obvezno polje,Yes
I18N_ND,I18NCode for ND,ND,ND,Yes
I18N_NET_GROWTH_IN_MEMBERSHIP,I18NCode for NET GROWTH IN_MEMBERSHIP (NEW CHAPTERS),Net Growth in Membership,Neto rast članstva,Yes
I18N_NET_GROWTH_IN_MEMBERSHIP2,I18NCode for Net Growth in Membership (Fill Chapters),Net Growth in Membership,Neto rast članstva,Yes
I18N_NET_NEW_CHAPTERS,I18NCode for Net New Chapters,Net New Chapters,Net Nova poglavja,Yes
I18N_NEW,I18NCode from New,New,Novo,Yes
I18N_NEW_ABREVIATION,I18NCode for New. Abreviation,New,Novo,Yes
I18N_NEW_ACTIVATION_EMAIL_HAS_BEEN_SENT,I18NCode for New Activation Email Has Been Sent,New activation has been sent for your email,Nova aktivacija je bila poslana na vaš e-poštni naslov,Yes
I18N_NEW_AMBASSADORS_LAST_6_MONTHS,I18NCode for New Ambassadors (last 6 months),New Ambassador,Novi veleposlanik,Yes
I18N_NEW_BROADCAST,I18NCode for New Broadcast,New broadcast,Nova oddaja,Yes
I18N_NEW_CHAPTERS,I18NCode for New Chapters,New Chapters,Nova poglavja,Yes
I18N_NEW_CHAT,I18NCode for New Chat,New chat,Nov klepet,Yes
I18N_NEW_DC_LAST_6_MONTHS,I18NCode for New DC (last 6 months),New DC,Novi DC,Yes
I18N_NEW_MEMBER_ACTIVE_CHAPTERS,I18NCode for New Member Active Chapters,New Members / Active Chapters,Novi člani / aktivni poglavji,Yes
I18N_NEW_MEMBER_CORE_CHAPTERS,I18NCode for New Member Core Chapters,New Members / Core Chapters,Novi člani / temeljna poglavja,Yes
I18N_NEW_MEMBERS_,I18NCode for New Members,New Members,Novi člani,Yes
I18N_NEW_MEMBERS_IS_REQUIRED,I18NCode for New members is required,New members is required,Potrebni so novi člani,Yes
I18N_NEW_MEMBERS_THE_REGION,I18NCode for New Members The Region,New Members,Novi člani,Yes
I18N_NEW_MESSAGES,I18NCode for New Messages,New messages,Nova sporočila,Yes
I18N_NEW_SINGULAR,I18NCode for New word in singular,New,Novo,Yes
I18N_NO,I18NCode for No,No,št,Yes
I18N_NO_CHAPTER_GOAL,I18NCode for No Chapter Goal,No Chapter Goal defined.,Cilj poglavja ni določen.,Yes
I18N_NO_CHATTING,I18NCode for No chatting,No Chatting,Brez klepetanja,Yes
I18N_NO_CONTACT_SPHERE,I18NCode for No Contact Sphere,Contact Spheres not found,Kontaktne sfere niso bile najdene,Yes
I18N_NO_COUNTRY_GOAL,I18NCode for No Country Goal,No Country Goal defined.,Določen ni noben državni cilj.,Yes
I18N_NO_DATA_100_POINTS,I18NCode for No Data 100 Points,This month there are no members with 100 points,Ta mesec ni članov s 100 točkami,Yes
I18N_NO_DATA_FOR_NO_NEW_MEMBERS,I18NCode for No Data for No New Members,No Data for No New Members,Ni podatkov za brez novih članov,Yes
I18N_NO_DATA_TO_SHOW,"I18NCode for message ""No data to show""",No data is available,Ni podatkov,Yes
I18N_NO_DIRECTOR_GOAL,I18NCode for No Director Goal,No Diretor Goal defined.,Cilj direktorja ni določen.,Yes
I18N_NO_DIRECTOR_TO_SHOW,I18NCode for No Director to show,Only available if you have more than one Area Director!,"Na voljo samo, če imate več kot enega območnega direktorja!",Yes
I18N_NO_GAMES_TO_SHOW,I18NCode for No Games To Show,No games to show,Ni iger za prikaz,Yes
I18N_NO_GROUP_MECHANISMS,I18NCode for No Group Mechanisms,No Chapter Mechanisms defined.,Ni opredeljenih mehanizmov poglavja.,Yes
I18N_NO_GUESTS,I18NCode for No guests,No Guests,Brez gostov,Yes
I18N_NO_GUESTS_IN_THE_LAST_12_MONTHS,I18NCode for No guests in the last 12 months,No Guests in the Last 12 Months,V zadnjih 12 mesecih ni bilo gostov,Yes
I18N_NO_IMAGE_SELECTED,I18NCode for No image selected,No image selected,Izbrana ni nobena slika,Yes
I18N_NO_KPI_ON_GAME,I18NCode for No KPI on Game,This Game has no KPI's to show.,Ta igra nima KPI-jev za prikaz.,Yes
I18N_NO_MECANISM_AVAILABLE,I18NCode for No Mecanism Available,No Mecanisms Available,Na voljo ni nobenega mehanizma,Yes
I18N_NO_MEMBER_MECHANISMS,I18NCode for No Member Mechanisms,No Member Mechanisms defined.,Ni določenih mehanizmov članov.,Yes
I18N_NO_MEMBERS_AVAILABLE,"I18NCode for No members available
",No Members Available,Ni razpoložljivih članov,Yes
I18N_NO_MEMBERS_FOUND,I18NCode for No Members Found,No members found.,Ni članov.,Yes
I18N_NO_MULTI_REGION_GOAL,I18NCode for Multi Region Goal,No Multi Region Goal defined.,Določen ni noben večregijski cilj.,Yes
I18N_NO_ONE_TO_ONES,I18NCode for No One To Ones,no one to ones,nihče do enega,Yes
I18N_NO_ONE_TO_ONES_IN_THE_LAST_4_WEEKS,I18NCode for No One To Ones in the last 4 weeks,No One To Ones in the last 4 weeks,No One To One v zadnjih 4 tednih,Yes
I18N_NO_ONE_TO_ONES_RECEIVED,I18NCode for No One-To-Ones received,No One-To-Ones received,Ni prejetih osebnih sporočil,Yes
I18N_NO_RECEIVED_REFERRALS_,I18NCode for NO RECEIVED REFERRALS ,No received referrals,Ni prejetih priporočil,Yes
I18N_NO_REFERRALS,I18NCode for No Referrals,no referrals,brez priporočil,Yes
I18N_NO_REFERRALS_GIVEN_,I18NCode for NO REFERRALS Given ,No referrals given,Ni podanih priporočil,Yes
I18N_NO_REFERRALS_RECEIVED,I18NCode for No Referrals Received,No referrals received,Ni prejetih priporočil,Yes
I18N_NO_REFERRALS_RECEIVED_IN_THE_LAST_8_WEEKS,I18NCode for No Referrals Received in the last 8 weeks,No Referrals Received in the Last 8 Weeks,V zadnjih 8 tednih ni bilo prejetih priporočil,Yes
I18N_NO_REGION_GOAL,I18NCode for No Region Goal,No Region Goal defined.,V zadnjih 8 tednih ni bilo prejetih priporočil,Yes
I18N_NO_RESULTS,I18NCode for No results,No results,Brez rezultatov,Yes
I18N_NO_RESULTS_FOUND,I18NCode for No Results found,No results found,Ni rezultatov,Yes
I18N_NO_RESULTS_FOUND_FOR,"I18NCode for No results found for
",No results found for,Ni rezultatov za,Yes
I18N_NO_SCHEDULED_OPERATIONS,I18NCode for No Scheduled Operations in Region Schedules Page,No Scheduled Operations,Ni načrtovanih operacij,Yes
I18N_NO_TAKS_EMPTY_DATA,I18NCode for No Taks Empty Data,No tasks ,Brez nalog,Yes
I18N_NO_TEAM_MEMBER,I18NCode for No Team Member,No members in the team,V ekipi ni članov,Yes
I18N_NO_TEAMS_TO_SHOW,I18NCode for No Teams to show,This Game has no teams to show.,Ta igra nima ekip za prikaz.,Yes
I18N_NO_TRAINNING_OR_CEU_ON_LAST,I18NCode for No Trainning or CEU On Last,No Trainning or CEU On Last,Nazadnje brez usposabljanja ali CEU,Yes
I18N_NO_USERS_FOUND,I18NCode for No users found,No users found,Ni najdenih uporabnikov,Yes
I18N_NOMEMBERSONTHISMONTHFORRENEWS,I18NCode for NoMembersOnThisMonthforRenews,No members on this month for renew,Ta mesec ni članov za podaljšanje,Yes
I18N_NOT_GREEN_LABEL_INFO,I18NCode for Not Green Label Info,new members that did not reach Green,"novih članov, ki niso dosegli Greena",Yes
I18N_NOT_GREENS,I18NCode for Not Greens,Not Greens,Ne Zeleni,Yes
I18N_NOT_PERMITED_FILE,I18NCode for Not permited file,"File type not allowed. Use only JPEG, PNG, or GIF.",Vrsta datoteke ni dovoljena.,Yes
I18N_NOT_REGISTERED_YET_,I18NCode for Not Registered yet?,Not Registered yet?,Še niste registrirani?,Yes
I18N_NOT_TO_GREEN_LABEL_INFO,I18NCode for Not To Green Label Info,membership length from members that did not reach Green yet,"dolžina članstva od članov, ki še niso dosegli Greena",Yes
I18N_NOTABLE_NETWORKERS,I18NCode for Notable Networkers Menu,Notable Networkers,Pomembni omrežniki,Yes
I18N_NOTES,I18NCode for Notes in Manage Tasks Page,Notes,Opombe,Yes
I18N_NOTGREEN,I18NCode for NotGreen,Not Green,Ne Zelena,Yes
I18N_NOTIFICATIONS,I18NCode for Notifications,Notifications,Obvestila,Yes
I18N_NOVEMBER,I18NCode for November,November,novembra,Yes
I18N_NPS,I18NCode for NPS,NPS,NPS,Yes
I18N_NUMBER_OF_MEMBERS,I18NCode for Number of Members,Number of Members,Število članov,Yes
I18N_NUMBER_OF_TEAMS,I18NCode for Number of teams,Number of teams,Število ekip,Yes
I18N_NUMBER_TOTAL_SPONSORS_MEMBERS,I18NCode for Nº Total Spons Members,Total Sponsored Members,Skupno število sponzoriranih članov,Yes
I18N_OBJECTIVE_TIME,I18NCode for Objective Time,Goal Time Range,Ciljni časovni razpon,Yes
I18N_OCTOBER,I18NCode for October,October,oktobra,Yes
I18N_OF,I18NCode for Of,Of,od,Yes
I18N_OF_PDF,I18NCode for Of Label in Datatable Pdf Export,of,od,Yes
I18N_OF_THE_MEMBERS,I18NCode for of the members,of the Members,članov,Yes
I18N_OLD,I18NCode for Old,Old,stara,Yes
I18N_ON_FIREFOX,I18NCode for On Firefox,On Firefox,V Firefoxu,Yes
I18N_ON_GOOGLE_CHROME,"i18NCode for On Google Chrome
",On Google Chrome,V brskalniku Google Chrome,Yes
I18N_ON_INTERNET_EXPLORER,I18NCode for On Internet Explorer,On Internet Explorer,V Internet Explorerju,Yes
I18N_ON_SAFARI,I18NCode for Safari,On Safari,Na Safariju,Yes
I18N_ON_TRAFFIC_LIGHTS_MARK_NEW_MEMBERS,I18NCode for On Traffic Lights Mark New Members,On Traffic Lights Mark New Members,Na semaforju označi nove člane,Yes
I18N_ONE_TO_ONE,I18NCode for One-to-One's Chart,One-to-One's,Ena na ena,Yes
I18N_ONE_TO_ONES,I18NCode for ONE-TO-ONE's,One-To-One's,Ena na ena,Yes
I18N_ONF_IS_REQUIRED,I18NCode for ONF is required,TYFCB is required,Zahtevan je TYFCB,Yes
I18N_OPERATION,I18NCode for Operation,Operation,Delovanje,Yes
I18N_OPERATION_DESCRIPTION,I18NCode for Operation Description,Operation Description,Opis delovanja,Yes
I18N_OPERATIONS,I18NCode for Operations,Operations,Operacije,Yes
I18N_OPTION,I18NCode for Option,Option,Možnost,Yes
I18N_OPTIONS,I18NCode for Options,Options,Možnosti,Yes
I18N_OPTOUT_REPORT,I18NCode for Optout Report label,Optout Report,Poročilo o izključitvi,Yes
I18N_ORDER,I18NCode for Order,Order,naročilo,Yes
I18N_ORIGINAL,I18NCode for Original,Original,Original,Yes
I18N_OUT_,I18NCode for Out,Out,ven,Yes
I18N_OVERALL_3PLUS1PERFORMANCE,I18NCode for Overall 3+1 Performance,3+1,3+1,Yes
I18N_OVERALL_RETENTION,I18NCode for Overall Retention,Overall,Na splošno,Yes
I18N_P,I18NCode for P,P,p,Yes
I18N_PAGE,I18NCode for Page Label in Datatable Pdf Export,Page,Stran,Yes
I18N_PARENT_MENU,I18NCode for Parent Menu,Parent Menu,Starševski meni,Yes
I18N_PARENT_MENU_OPTION,I18NCode for Parent Menu Option,Parent Menu Option,Možnost starševskega menija,Yes
I18N_PASSWORD,i18NCode for Password,Password,Geslo,Yes
I18N_PASSWORD_CHANGED_SUCCESSFULLY_,I18NCode for Password Changed Successfully!,Password Changed Successfully!,Geslo je bilo uspešno spremenjeno!,Yes
I18N_PASSWORD_IS_REQUIRED,I18NCode for Password is Required,Password is required,Zahtevano je geslo,Yes
I18N_PASSWORD_MUST_BE_AT_LEAST_8_CHARACTERS_,I18NCode for Password Must Be At Least 8 Characters ,Password must be at leat 8 caracters,Geslo mora imeti vsaj 8 znakov,Yes
I18N_PASSWORDS_DO_NOT_MATCH,I18NCode for Passwords Do Not Match,Passwords do not match,Gesli se ne ujemata,Yes
I18N_PER_CHAPTER,I18NCode for Per Chapter,Per Chapter,Po poglavju,Yes
I18N_PERF_INDEX,I18NCode for Market Perf.Index,Perf. Index,Perf.,Yes
I18N_PERFOMANCE,I18NCode for Franchise Perfomance,Performance,Učinkovitost,Yes
I18N_PERFORM_COMPLETE_MANAGEMENT_OF_YOUR,I18NCode for Perform complete management of your,Perform complete management of yours,Izvedite popolno upravljanje svojega,Yes
I18N_PERIODICITY,I18NCode for Periodicity,Periodicity,Periodičnost,Yes
I18N_PHONE,I18NCode for Phone,Phone,Telefon,Yes
I18N_PICK_RANGE_OF_DATE,I18NCode for Pick the Range of Dates for date picker label,Pick the Range of Dates,Izberite obseg datumov,Yes
I18N_PLACE,I18NCode for Place,Place,Mesto,Yes
I18N_PLEASE_CHECK_YOUR_INBOX,I18NCode for Please Check Your Inbox,Please check your inbox,"Prosimo, preverite svoj nabiralnik",Yes
I18N_PLEASE_REQUEST_A_NEW_ACTIVATION_EMAIL,I18NCode for Please Request A New Activation Email,Please request a new activation email,Zahtevajte novo aktivacijsko e-pošto,Yes
I18N_PLEASE_WAIT,I18NCode for Please Wait,Please wait,Počakajte prosim,Yes
I18N_PLEASE_WAIT_WHILE_WE_VALIDATE_YOUR_TOKEN,i18NCode for Please Wait While We Validate Your Token,Please wait while we validade your token,"Počakajte, da preverimo vaš žeton",Yes
I18N_POINTS,I18NCode for Points,Points,Točke,Yes
I18N_POLL_OPTIONS,I18NCode for Poll Options,Poll options,Možnosti ankete,Yes
I18N_POSSIBLE_RENEWALS,I18NCode for Possible Renewals in graphic,Possible Renewals,Možna podaljšanja,Yes
I18N_PREVIOUS_MONTH,I18NCode for Previous Month,Previous Month,Prejšnji mesec,Yes
I18N_PRIMARY_CONTACT_DETAILS,I18NCode for Primary Contact Details,Primary contact details,Primarni kontaktni podatki,Yes
I18N_PRIORITY,I18NCode for Priority,Priority,Prioriteta,Yes
I18N_PRIVACY_POLICY,I18NCode for Privacy Policy,Privacy Policy,Politika zasebnosti,Yes
I18N_PRIVACY_POLICY_INTRO,i18NCode for Privacy Policy Intro,"For us at <strong>DeepEye</strong>, protecting your privacy is of utmost importance. We take data protection seriously and make an active effort to attend all of our obligations and to guarantee your rights. In this privacy policy, we explain who we are and how we accomplish that.",Za nas v <strong>DeepEye</strong> je varovanje vaše zasebnosti izjemnega pomena.,Yes
I18N_PRIVATE,I18NCode for private,Private,Zasebno,Yes
I18N_PRIVATE_CHAT,I18NCode for Private Chat,Private Chat,Zasebni klepet,Yes
I18N_PRIVATE_CONVERSATIONS_ONLY,I18NCode for Private conversations only,Private conversations only,Samo zasebni pogovori,Yes
I18N_PROBABLE_RENEWALS,I18NCode for Probable Renewals in graphic,Probable Renewals,Verjetna podaljšanja,Yes
I18N_PROCESSING_YOUR_REQUEST,I18NCode for Processing Your Request,Processing your request,Obdelava vaše zahteve,Yes
I18N_PROFESSION,I18NCode for hidden row in Upcoming Renewels Page,Profession,Poklic,Yes
I18N_PROFILE,I18NCode for Profile,Profile,Profil,Yes
I18N_PROFILE_DESCRIPTION,I18NCode for Profile Descriptions,Profile Description,Opis profila,Yes
I18N_PROFILE_DETAIL_PAGE,I18NCode for Profile detail page,Profile Detail Page,Stran s podrobnostmi o profilu,Yes
I18N_PROFILE_DETAILS,I18NCode for Profile Details,Profile Details,Podrobnosti profila,Yes
I18N_PROFILE_NAME,I18NCode for Profile Name,Profile Name,Ime profila,Yes
I18N_PROFILES,I18NCode for Profiles Menu,Profiles,Profili,Yes
I18N_PROGRESS,I18NCode for Progress,Progress,Napredek,Yes
I18N_PROMOTE_TO_ADMIN,I18NCode for Promote to admin,Promote to admin,Povišaj v skrbnika,Yes
I18N_PTS,I18NCode for Pts,Pts,točke,Yes
I18N_QUARTER,I18NCode for Quarter,Quarter,četrtina,Yes
I18N_QUESTION,I18NCode for Question,Question,vprašanje,Yes
I18N_QUICK_STATS,I18NCode for Quick Stats,Quick stats,Hitra statistika,Yes
I18N_R2Y_ADMINISTRATOR,I18NCodes for R2Y Administrator,R2Y Administrator,Skrbnik R2Y,Yes
I18N_REASON,I18NCode for Reason,Reason,Razlog,Yes
I18N_RECEIVE_EMAIL_ALERTS_WHEN_YOU_HAVE_MESSAGES,I18NCode for Receive email alerts when you have messages,Receive email alerts for messages,Prejemajte e-poštna opozorila za sporočila,Yes
I18N_RECEIVE_REPORTS,I18NCode for Receive Reports,Receive Reports,Prejemanje poročil,Yes
I18N_RECEIVED_IN_THE_LAST,I18NCode for Received in the last,Received in the last,Prejeto v zadnjem,Yes
I18N_RECEIVED_REFERRALS,I18NCode for Received Referrals Chart,Received Referrals,Prejeti priporočili,Yes
I18N_RED,I18NCode for #Red on table label,#Red,#Rdeča,Yes
I18N_REF,I18NCode for Ref,Ref.,Ref.,Yes
I18N_REFERRALS,I18NCode for referrals,Referrals,Napotitve,Yes
I18N_REFERRALS_IS_REQUIRED,I18NCode for Referrals is required,Referrals is required,Potrebne so napotnice,Yes
I18N_REFERREALS_THE_REGION,I18NCode for Referreals The Region,Referrals,Napotitve,Yes
I18N_REGION,I18NCode for Région,Region,Regija,Yes
I18N_REGION_AVG,I18NCode for region Avg,Region Avg,Povpr. regije,Yes
I18N_REGION_DEVELOPMENT,I18NCode for Region Development,Region Development,Razvoj regije,Yes
I18N_REGION_GOAL_EDIT,I18NCode for Region Goal Edit,Edit the Region Goal,Uredite regionalni cilj,Yes
I18N_REGION_GOAL_MENU,I18NCode for Region Menu for Goals,Region,Regija,Yes
I18N_REGION_ID_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Region ID cannot exceed 50 characters,Region ID cannot exceed 50 characters,ID regije ne sme presegati 50 znakov,Yes
I18N_REGION_ID_IS_REQUIRED,I18NCode for Region ID is required,Region ID is required,Zahtevan je ID regije,Yes
I18N_REGION_LAST_MONTH,I18NCode for Region Last Month Page,Region Last Month,Regija Prejšnji mesec,Yes
I18N_REGION_RETENTION_GROWTH,I18NCode for Region Retention Growth Page Title,Retention Growth,Rast zadrževanja,Yes
I18N_REGION_SCHEDULES,I18NCode for Region Schedules Title Page,Scheduled Operations,Načrtovane operacije,Yes
I18N_REGION_SETUP,I18NCode for Region Setup,Region Setup,Nastavitev regije,Yes
I18N_REGION_SIZE,I18NCode for Region Size ,Region Size,Velikost regije,Yes
I18N_REGIONAL,I18NCode for Regional,Regional,Regionalni,Yes
I18N_REGIONAL_ADMINISTRATION,I18NCode for Regional Administration,Regional Administration,Deželna uprava,Yes
I18N_REGIONAL_COUNT,I18NCode for Regional Count,Regional Count,Regionalno štetje,Yes
I18N_REGIONAL_COUNT_CONTACT_SPHERE,i18NCode for Regional Count Contact Sphere,Regional Count Contact Sphere,Regionalno štetje kontaktne sfere,Yes
I18N_REGIONAL_INFORMATION,I18NCode for regional information,Regional information,Regionalne informacije,Yes
I18N_REGIONAL_OPTION,I18NCode for Regional Option,Regional Option,Regionalna možnost,Yes
I18N_REGIONS,Region,Regions,Regije,Yes
I18N_REGIONS__CHAPTERS__MEMBERS__AND_TEAMS,"I18NCode for Regions, Chapters, Members, and Teams","Regions, Chapters, Members and Teams","Regije, poglavja, člani in ekipe",Yes
I18N_REGIONS_EVOLUTION,I18nCode for Regions Evolution,Regions Evolution,Razvoj regij,Yes
I18N_REGIONS_SUBSTITLE,I18NCode for Regions,Regions,Regije,Yes
I18N_REGISTER,I18NCode for Register ,Register,Registrirajte se,Yes
I18N_REGISTER_NEW_USER,I18NCode for Register New User,Register New User,Registrirajte novega uporabnika,Yes
I18N_REGISTER_ONLY_FOR_R2Y_USERS,I18NCode for Register Only For R2Y Users,This register is only for Reporting2You users,Ta register je samo za uporabnike Reporting2You,Yes
I18N_RELOAD_CHART,I18NCode for the Reload Chart Button,Reload Chart,Ponovno naloži grafikon,Yes
I18N_REMOVE_CONFIRMATION_BUTTON,I18NCode for Remove confirmation Button,"Yes, remove it!","Da, odstrani!",Yes
I18N_REMOVE_FROM_THE_GROUP,I18NCode for Remove from the group,Remove from the group,Odstrani iz skupine,Yes
I18N_REMOVE_IMAGE,I18NCode for Remove image,Remove image,Odstrani sliko,Yes
I18N_RENEW,I18NCode for Renew,Renew at,Obnovi ob,Yes
I18N_RENEW_ABREVIATION,I18NCode for Renew Abreviation,Renew,Obnovi,Yes
I18N_RENEW_SINGULAR,I18NCode for Renew word in singular,Renew,Obnovi,Yes
I18N_RENEWALS,I18NCode for Renewals,Renewals,Podaljšanja,Yes
I18N_RENEWALS_IS_REQUIRED,I18NCode for Renewals is required,Renewals is required,Potrebne so obnove,Yes
I18N_RENEWS,I18NCode for Renews,Renew,Obnovi,Yes
I18N_REPORT,I18NCode for Report,Report,Poročilo,Yes
I18N_REPORT_DATE,I18NCode for Report Date in Datatables Pdf Export,Report date,Datum poročila,Yes
I18N_REPORT_NAME,I18NCode for Report Name,Report Name,Ime poročila,Yes
I18N_REPORTS,I18NCode for Reports,Reports,Poročila,Yes
I18N_REQUEST_NEW_TOKEN,I18NCode for Request New Token,Request New Token,Zahtevajte nov žeton,Yes
I18N_REQUIRED_CODE,Required Code,I18n Codes names is required to be unique.,Imena kod I18n morajo biti edinstvena.,Yes
I18N_RES,I18NCode for Res,Res.,Res.,Yes
I18N_RESET,I18NCode for Reset,Reset,Ponastavi,Yes
I18N_RESIZE_CHAPTER_IMAGE_,I18NCode for Resize Chapter Image ,Resize chapter image,Spremenite velikost slike poglavja,Yes
I18N_RESIZE_PROFILE_PICTURE,I18NCode for Resize profile picture,Resize profile picture,Spremenite velikost slike profila,Yes
I18N_RESPONDING_TO,"I18NCode for Responding to
",Responding to,Odziv na,Yes
